Frame,Object ID,Class,X1,Y1,X2,Y2,Confidence
1,0,person,4,14,367,354,0.7096021771430969
2,0,person,7,14,365,354,0.6622979640960693
3,0,person,7,14,365,354,0.6713933348655701
4,0,person,7,14,364,354,0.6475862264633179
5,0,person,15,14,366,354,0.5914326906204224
6,0,person,6,14,358,354,0.5990064740180969
7,0,person,4,14,359,354,0.5707147717475891
8,0,person,1,14,356,354,0.5733765363693237
9,0,person,3,13,354,354,0.5833165049552917
10,0,person,1,13,354,354,0.649213969707489
10,1,person,313,1,639,354,0.5235329866409302
11,0,person,2,13,355,354,0.6812101602554321
11,1,person,313,1,639,354,0.5256408452987671
12,0,person,1,13,355,354,0.7256774306297302
13,0,person,1,13,354,354,0.7186093926429749
13,2,person,324,1,639,354,0.5559583902359009
14,0,person,5,12,354,353,0.6228150725364685
16,3,person,327,1,638,353,0.539014458656311
18,4,person,337,1,638,353,0.5357690453529358
19,4,person,344,0,638,353,0.6053374409675598
20,4,person,345,0,637,353,0.5518305897712708
21,4,person,344,0,638,354,0.568239152431488
22,4,person,344,0,637,355,0.5451847314834595
26,5,person,6,19,410,356,0.5414745211601257
26,6,person,342,0,639,354,0.5148549675941467
28,7,person,26,0,639,358,0.540787935256958
29,7,person,39,0,639,358,0.5735204815864563
30,7,person,33,0,640,355,0.5334661602973938
31,7,person,9,0,638,355,0.5387354493141174
35,8,person,22,0,638,356,0.6415819525718689
36,9,person,311,0,639,354,0.535143256187439
37,9,person,290,0,639,355,0.569732129573822
38,9,person,287,0,639,354,0.5213282704353333
39,10,person,1,20,362,355,0.5355398654937744
40,10,person,4,21,353,354,0.5608987808227539
41,10,person,9,20,365,355,0.5648153424263
41,11,person,345,0,637,205,0.5278245806694031
44,12,person,341,75,640,355,0.5414743423461914
44,13,cow,0,107,158,354,0.5137506723403931
45,12,person,343,76,639,354,0.5661282539367676
46,12,person,339,78,640,355,0.5802831649780273
46,14,person,315,51,360,156,0.5200000405311584
47,12,person,340,80,640,355,0.5365613102912903
48,12,person,207,87,640,355,0.5659152269363403
48,15,elephant,0,113,159,354,0.5444560647010803
49,12,person,341,92,640,355,0.6705130934715271
50,12,person,340,97,640,355,0.609011173248291
51,12,person,211,99,640,355,0.5901411175727844
52,12,person,209,105,639,355,0.7068926692008972
53,12,person,212,111,639,355,0.7760311365127563
53,16,person,1,120,324,356,0.5427616238594055
54,12,person,339,118,640,355,0.655651330947876
55,12,person,208,122,638,356,0.5145737528800964
56,12,person,339,126,639,356,0.5183789134025574
57,12,person,186,132,636,356,0.5995687246322632
59,17,person,206,142,637,355,0.5110841989517212
60,17,person,214,147,640,356,0.5234137773513794
61,17,person,200,148,640,357,0.7176917791366577
62,17,person,201,148,640,356,0.6283320188522339
63,17,person,205,150,639,357,0.6341187357902527
65,18,person,205,141,639,356,0.6284977197647095
68,19,person,210,144,629,357,0.5363208651542664
70,20,person,209,169,619,356,0.5000580549240112
72,21,person,353,202,598,356,0.5786349177360535
73,21,person,352,205,591,356,0.6661161780357361
74,21,person,352,208,585,356,0.7448323965072632
75,21,person,351,210,580,356,0.7744866609573364
76,21,person,350,214,573,356,0.7904489636421204
77,21,person,349,217,568,355,0.826226532459259
78,21,person,348,220,565,356,0.8229382634162903
79,21,person,347,222,562,356,0.8233856558799744
80,21,person,347,226,490,357,0.5023394823074341
81,21,person,346,228,556,356,0.6814761161804199
82,21,person,346,231,551,356,0.5921348929405212
83,21,person,345,234,481,357,0.5074547529220581
85,22,person,344,240,474,357,0.5983703136444092
86,22,person,342,242,472,358,0.5561224818229675
87,22,person,341,243,467,357,0.5395562052726746
88,22,person,339,245,464,358,0.565201997756958
89,22,person,214,236,527,356,0.5739940404891968
91,23,person,216,235,522,356,0.5743505954742432
100,24,skateboard,362,109,422,234,0.5389681458473206
101,24,skateboard,362,109,422,234,0.5492167472839355
102,24,skateboard,362,109,422,234,0.5480524897575378
